TOOL NAME,W/O,SIZE & THREAD,MATERIAL,MODEL,MATERIAL NO,PART NUMBER,QUANTITY,LOCATION
BRIDGE PLUG,WO25-003-P34-037,"9-5\8"" STUB ACME",L80,PFT,N/A,702T100001009-REV-A,1,W/EXT
BRIDGE PLUG,WO25-003-P34-013,"9-5\8"" STUB ACME",L80,PFT,N/A,702T100001009-REV-A,1,W/EXT
BRIDGE PLUG,WO25-003-P34-011,"9-5\8"" STUB ACME",L80,PFT,N/A,702T100001009-REV-A,1,W/EXT
BRIDGE PLUG,WO25-003-P35-005,"9-5\8"" STUB ACME",L80,PFT,N/A,702T100001010-REV-A,1,W/EXT
BRIDGE PLUG,WO25-003-P35-028,"9-5\8"" STUB ACME",L80,PFT,N/A,702T100001010-REV-A,1,W/EXT
BRIDGE PLUG,WO25-003-P35-015,"9-5\8"" STUB ACME",L80,PFT,N/A,702T100001010-REV-A,1,W/EXT
BRIDGE PLUG,WO24-003-P041-021,"9-5\8"" STUB ACME",L80,PFT,N/A,702T100001009-REV-A,1,W/EXT
BRIDGE PLUG,WO25-003-P34-039,"9-5\8"" STUB ACME",L80,PFT,N/A,702T100001009-REV-A,1,W/EXT
BRIDGE PLUG,WO25-003-P34-009,"9-5\8"" STUB ACME",L80,PFT,N/A,702T100001009-REV-A,1,W/EXT
BRIDGE PLUG,WO25-003-P35-035,"9-5\8"" STUB ACME",L80,PFT,N/A,702T100001010-REV-A,1,W/EXT
BRIDGE PLUG,WO25-003-P34-007,"9-5\8"" STUB ACME",L80,PFT,N/A,702T100001009-REV-A,1,W/EXT
BRIDGE PLUG,WO25-003-P35-001,"9-5\8"" STUB ACME",L80,PFT,N/A,702T100001009-REV-A,1,W/EXT
BRIDGE PLUG,"WO25-003-P35-017, W025-003-P34-017","9-5\8"" STUB ACME",L80,PFT,N/A,"702T100001010-REV-A,  702T100001009-REV-A",1,W/EXT
BRIDGE PLUG,WO25-003-P35-023,"9-5\8"" STUB ACME",L80,PFT,N/A,702T100001010-REV-A,1,W/EXT
BRIDGE PLUG,WO25-003-P35-025,"9-5\8"" STUB ACME",L80,PFT,N/A,702T100001010-REV-A,1,W/EXT
BRIDGE PLUG,WO25-003-P34-030,"9-5\8"" STUB ACME",L80,PFT,N/A,702T100001009-REV-A,1,W/EXT
BRIDGE PLUG,WO25-003-P35-031,"9-5\8"" STUB ACME",L80,PFT,N/A,702T100001010-REV-A,1,W/EXT
BRIDGE PLUG,WO25-003-P35-019,"9-5\8"" STUB ACME",L80,PFT,N/A,702T100001010-REV-A,1,W/EXT
BRIDGE PLUG,WO25-003-P35-003,"9-5\8"" STUB ACME",L80,PFT,N/A,702T100001010-REV-A,1,W/EXT
BRIDGE PLUG,WO25-003-P34-033,"9-5\8"" STUB ACME",L80,PFT,N/A,702T100001009-REV-A,1,W/EXT
CR convertible to BP,WO24-001-P040-003,"9-5\8"" STUB ACME",L80,PFT,N/A,702T100001009-REV-A,1,W/EXT
CR convertible to BP,WO24-001-P041-001,"9-5\8"" STUB ACME",L80,PFT,N/A,702T100001010-REV-A,1,W/EXT
CR convertible to BP,"WO24-001-P040-011, W024-001-P041-011","9-5\8"" STUB ACME",L80,PFT,N/A,"702T100001009-REV-A, 702T100001010-REV-A",1,W/EXT
CR convertible to BP,WO24-001-P041-007,"9-5\8"" STUB ACME",L80,PFT,N/A,702T100001010-REV-A,1,W/EXT
CR convertible to BP,WO24-001-P041-009,"9-5\8"" STUB ACME",L80,PFT,N/A,702T100001010-REV-A,1,W/EXT
CR convertible to BP,WO24-001-P041-005,"9-5\8"" STUB ACME",L80,PFT,N/A,702T100001010-REV-A,1,W/EXT
CR convertible to BP,WO24-001-P053-003,"7"" STUB ACME",L80,PFT,N/A,707P100001006-REV-A,1,W/EXT
CR convertible to BP,WO24-001-P051-001,"7"" STUB ACME",L80,PFT,N/A,707P100001003-REV-A,1,W/EXT
CEMENT RETAINER,N/A,"7""",L80,,N/A,SEG-CR-01,1,WORKSHOP
CEMENT RETAINER,N/A,"7""",L80,,N/A,SEG-CR-02,1,WORKSHOP
CEMENT RETAINER,N/A,"7""",L80,,N/A,SEG-CR-03,1,WORKSHOP
CEMENT RETAINER,N/A,"7""",L80,,N/A,SEG-CR-04,1,WORKSHOP
BRIDGE PLUG,WO25-003-P06-071,"7"" STUB ACME",L80,PFT,N/A,707P100001006-REV-A,1,W/EXT
BRIDGE PLUG,WO25-003-P07-003,"7"" STUB ACME",L80,PFT,N/A,707P100001007-REV-A,1,W/EXT
BRIDGE PLUG,WO25-003-P06-007,"7"" STUB ACME",L80,PFT,N/A,707P100001006-REV-A,1,W/EXT
BRIDGE PLUG,WO25-003-P07-005,"7"" STUB ACME",L80,PFT,N/A,707P100001007-REV-A,1,W/EXT
BRIDGE PLUG,WO25-003-P07-015,"7"" STUB ACME",L80,PFT,N/A,707P100001007-REV-A,1,W/EXT
BRIDGE PLUG,WO25-003-P07-011,"7"" STUB ACME",L80,PFT,N/A,707P100001007-REV-A,1,W/EXT
BRIDGE PLUG,WO25-003-P07-013,"7"" STUB ACME",L80,PFT,N/A,707P100001007-REV-A,1,W/EXT
BRIDGE PLUG,WO25-003-P06-001,"7"" STUB ACME",L80,PFT,N/A,707P100001006-REV-A,1,W/EXT
BRIDGE PLUG,WO24-001-P053-001,"7"" STUB ACME",L80,PFT,N/A,707P100001006-REV-A,1,W/EXT
BRIDGE PLUG,WO25-003-P07-019,"7"" STUB ACME",L80,PFT,N/A,707P100001007-REV-A,1,W/EXT
BRIDGE PLUG,N/A,"7""",L80,,20220214003,N/A,1,WORKSHOP
MECH SET SLIP,WO24-001-P060-002,"7"" ",L80,PFT,N/A,702T100001002/#3-REV-A,1,W/EXT
MECH SET SLIP,WO24-001-P036-001,"9-5/8""",L80,PFT,N/A,702T100001003/#7-REV-A,1,W/EXT
MECH SET SLIP,WO24-001-P036-008,"9-5/8""",L80,PFT,N/A,702T100001003/#1-REV-A,1,W/EXT
MECH SET SLIP,WO24-001-P036-004,"9-5/8""",L80,PFT,N/A,702T100001003/#3-REV-A,1,W/EXT
MECH SET SLIP,WO24-001-P036-010,"9-5/8""",L80,PFT,N/A,702T100001003/#4-REV-A,1,W/EXT
MECH SET SLIP,WO24-001-P036-005,"9-5/8""",L80,PFT,N/A,702T100001003/#6-REV-A,1,W/EXT
MECH SET SLIP,WO24-001-P036-007,"9-5/8""",L80,PFT,N/A,702T100001003/#3-REV-A,1,W/EXT
MECH SET SLIP,WO24-001-P036-006,"9-5/8""",L80,PFT,N/A,702T100001003/#3-REV-A,1,W/EXT
MECH SET SLIP,WO24-001-P036-003,"9-5/8""",L80,PFT,N/A,702T100001003/#1-REV-A,1,W/EXT
MECH SET SLIP,WO24-001-P036-002,"9-5/8""",L80,PFT,N/A,702T100001003/#8-REV-A,1,W/EXT
MECH SET SLIP,WO24-001-P036-009,"9-5/8""",L80,PFT,N/A,702T100001003/#2-REV-A,1,W/EXT
MECH SET SLIP,WO24-001-P060-001,"7"" ",L80,PFT,N/A,702T100001002/#4-REV-A,1,W/EXT
WL SET SLIP,WO25-003-P02-010,"7"" ",L80,PFT,N/A,707P100001002-REV-A,1,W/EXT
WL SET SLIP,WO25-003-P02-008,"7"" ",L80,PFT,N/A,707P100001002-REV-A,1,W/EXT
WL SET SLIP,WO25-003-P02-005,"7"" ",L80,PFT,N/A,707P100001002-REV-A,1,W/EXT
